Alg,N,Time(sec),GFLOPS
ikj_block2,1900,4.35,3.15
ikj_block4,1900,5.72,2.40
ikj_block5,1900,4.46,3.08
ikj_block10,1900,2.91,4.71
ikj_block20,1900,2.84,4.83
ikj_block50,1900,4.07,3.37
k4ij,1900,2.08,6.59
k8ij,1900,2.04,6.72
k16ij,1900,2.13,6.43
ijk,2000,10.73,1.49
ikj,2000,3.55,4.51
jik,2000,9.39,1.70
jki,2000,12.90,1.24
kij,2000,4.89,3.27
kji,2000,13.16,1.22
i2kj,2000,2.82,5.66
ik2j,2000,2.75,5.81
ikj2,2000,3.62,4.42
k2ij,2000,2.55,6.28
ki2j,2000,3.72,4.30
kij2,2000,3.79,4.22
ik4j,2000,2.58,6.21
ik8j,2000,2.45,6.54
ik16j,2000,2.54,6.29
ijk_block2,2000,4.68,3.42
ijk_block4,2000,4.96,3.23
ijk_block5,2000,8.13,1.97
ijk_block10,2000,5.23,3.06
ijk_block20,2000,4.94,3.24
ijk_block50,2000,5.78,2.77
ikj_block2,2000,5.06,3.16
ikj_block4,2000,6.67,2.40
ikj_block5,2000,5.23,3.06
ikj_block10,2000,3.40,4.70
ikj_block20,2000,3.31,4.84
ikj_block50,2000,4.75,3.37
k4ij,2000,2.42,6.61
k8ij,2000,2.39,6.70
k16ij,2000,2.48,6.45
ijk,2100,18.02,1.03
ikj,2100,5.43,3.41
jik,2100,11.23,1.65
jki,2100,17.17,1.08
kij,2100,6.09,3.04
kji,2100,17.35,1.07
i2kj,2100,3.83,4.84
ik2j,2100,4.17,4.44
ikj2,2100,5.19,3.57
k2ij,2100,3.21,5.76
ki2j,2100,4.49,4.12
kij2,2100,4.86,3.81
ik4j,2100,3.89,4.76
ik8j,2100,3.55,5.21
ik16j,2100,3.49,5.31
ijk_block2,2100,5.62,3.29
ijk_block4,2100,6.20,2.99
ijk_block5,2100,10.47,1.77
ijk_block10,2100,6.26,2.96
ijk_block20,2100,5.72,3.24
ijk_block50,2100,6.68,2.77
ikj_block2,2100,6.15,3.01
ikj_block4,2100,7.75,2.39
ikj_block5,2100,6.11,3.03
ikj_block10,2100,4.20,4.41
ikj_block20,2100,5.85,3.17
ikj_block50,2100,5.66,3.27
k4ij,2100,2.92,6.34
k8ij,2100,2.79,6.64
k16ij,2100,2.91,6.37
ijk,2200,25.22,0.84
ikj,2200,6.00,3.55
jik,2200,13.15,1.62
jki,2200,23.54,0.90
kij,2200,7.21,2.95
kji,2200,21.76,0.98
i2kj,2200,4.48,4.75
ik2j,2200,4.58,4.64
ikj2,2200,6.06,3.51
k2ij,2200,3.89,5.47
ki2j,2200,5.62,3.79
kij2,2200,6.08,3.50
ik4j,2200,3.98,5.35
ik8j,2200,3.89,5.47
ik16j,2200,3.66,5.81
ijk_block2,2200,6.46,3.30
ijk_block4,2200,7.10,3.00
ijk_block5,2200,11.78,1.81
ijk_block10,2200,7.13,2.99
